pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
1,1,1,1,1,1,1,0.9728205,1,0.06556777,Fist
1,1,1,1,1,1,1,1,0.8626373,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06615385,Fist
1,1,1,1,1,1,1,1,0.8632234,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06615385,Fist
1,1,1,1,1,1,1,1,0.8646886,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06644689,Fist
1,1,1,1,1,1,1,1,0.8649817,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06615385,Fist
1,1,1,1,1,1,1,1,0.8661538,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06615385,Fist
1,1,1,1,1,1,1,1,0.867619,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06644689,Fist
1,1,1,1,1,1,1,1,0.8679121,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06673992,Fist
1,1,1,1,1,1,1,1,0.8682051,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06673992,Fist
1,1,1,1,1,1,1,1,0.8682051,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06673992,Fist
1,1,1,1,1,1,1,1,0.8687912,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06673992,Fist
1,1,1,1,1,1,1,1,0.8702564,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06673992,Fist
1,1,1,1,1,1,1,1,0.8705494,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06673992,Fist
1,1,1,1,1,1,1,1,0.8714285,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06673992,Fist
1,1,1,1,1,1,1,1,0.8711355,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06703297,Fist
1,1,1,1,1,1,1,1,0.8717216,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06673992,Fist
1,1,1,1,1,1,1,1,0.8717216,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06703297,Fist
1,1,1,1,1,1,1,1,0.8717216,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06703297,Fist
1,1,1,1,1,1,1,1,0.8717216,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06644689,Fist
1,1,1,1,1,1,1,1,0.8717216,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06615385,Fist
1,1,1,1,1,1,1,1,0.8717216,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06556777,Fist
1,1,1,1,1,1,1,1,0.8717216,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06556777,Fist
1,1,1,1,1,1,1,1,0.8717216,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06556777,Fist
1,1,1,1,1,1,1,1,0.8717216,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06556777,Fist
1,1,1,1,1,1,1,1,0.8717216,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06556777,Fist
1,1,1,1,1,1,1,1,0.8717216,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06556777,Fist
1,1,1,1,1,1,1,1,0.8717216,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06556777,Fist
1,1,1,1,1,1,1,1,0.8717216,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06498168,Fist
1,1,1,1,1,1,1,1,0.8717216,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06498168,Fist
1,1,1,1,1,1,1,1,0.8717216,0.1074725,Fist
1,1,1,1,1,1,1,0.9728205,1,0.06556777,Fist
