pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.7079122,1,1,0.4538462,0.5071795,0.02600733,1,0.2539927,0.227326,0.03978022,MiddleFinger
0.5590477,1,1,0.6923809,0.6545788,0.03948718,1,0.3574359,0.3111354,0.04681319,MiddleFinger
0.7079122,1,1,0.4538462,0.5071795,0.02600733,1,0.2539927,0.227326,0.04007326,MiddleFinger
0.5590477,1,1,0.6923809,0.6545788,0.03948718,1,0.3574359,0.3111354,0.04710623,MiddleFinger
0.7079122,1,1,0.4538462,0.5071795,0.02571429,1,0.2539927,0.227326,0.03978022,MiddleFinger
0.5590477,1,1,0.6923809,0.6545788,0.03948718,1,0.3574359,0.3111354,0.04710623,MiddleFinger
0.7079122,1,1,0.4538462,0.5071795,0.02571429,1,0.2539927,0.227326,0.03978022,MiddleFinger
0.5590477,1,1,0.6923809,0.6545788,0.03978022,1,0.3574359,0.3117215,0.04681319,MiddleFinger
0.7079122,1,1,0.4538462,0.5077655,0.02571429,1,0.2539927,0.227326,0.04007326,MiddleFinger
0.5590477,1,1,0.6923809,0.6545788,0.03978022,1,0.3574359,0.3117215,0.04681319,MiddleFinger
0.7079122,1,1,0.4538462,0.5083517,0.02571429,1,0.2539927,0.227326,0.03978022,MiddleFinger
0.5590477,1,1,0.6923809,0.6545788,0.03948718,1,0.3574359,0.3117215,0.04681319,MiddleFinger
0.7079122,1,1,0.4538462,0.5083517,0.02571429,1,0.2539927,0.227326,0.03978022,MiddleFinger
0.5590477,1,1,0.6923809,0.6545788,0.03948718,1,0.3574359,0.3117215,0.04681319,MiddleFinger
0.7079122,1,1,0.4538462,0.5083517,0.02542125,1,0.2539927,0.227326,0.03978022,MiddleFinger
0.5590477,1,1,0.69326,0.6545788,0.03948718,1,0.3574359,0.3117215,0.04681319,MiddleFinger
0.7079122,1,1,0.4538462,0.5083517,0.02542125,1,0.2539927,0.227326,0.03978022,MiddleFinger
0.5590477,1,1,0.6944322,0.656337,0.03978022,1,0.3574359,0.3123076,0.04681319,MiddleFinger
0.7079122,1,1,0.4538462,0.5083517,0.02542125,1,0.2539927,0.227326,0.03948718,MiddleFinger
0.5590477,1,1,0.6950183,0.6580952,0.03978022,1,0.3574359,0.3128937,0.04681319,MiddleFinger
0.7079122,1,1,0.4538462,0.5083517,0.02542125,1,0.2539927,0.227326,0.03978022,MiddleFinger
0.5590477,1,1,0.6947252,0.6586813,0.04007326,1,0.3574359,0.3131867,0.04681319,MiddleFinger
0.7079122,1,1,0.4538462,0.5083517,0.0251282,1,0.2539927,0.227326,0.03978022,MiddleFinger
0.5590477,1,1,0.6944322,0.6580952,0.04007326,1,0.3574359,0.3131867,0.04681319,MiddleFinger
0.7079122,1,1,0.4538462,0.5083517,0.0251282,1,0.2539927,0.227326,0.03948718,MiddleFinger
0.5590477,1,1,0.6944322,0.6580952,0.04007326,1,0.3574359,0.3131867,0.04681319,MiddleFinger
0.7079122,1,1,0.4538462,0.5083517,0.0251282,1,0.2539927,0.227326,0.03948718,MiddleFinger
0.5593408,1,1,0.6944322,0.6580952,0.04007326,1,0.3574359,0.3131867,0.04710623,MiddleFinger
0.7079122,1,1,0.4538462,0.5083517,0.0251282,1,0.2539927,0.227326,0.03919414,MiddleFinger
0.5593408,1,1,0.6944322,0.6580952,0.04007326,1,0.3574359,0.3131867,0.04681319,MiddleFinger
0.7079122,1,1,0.4538462,0.5083517,0.02454212,1,0.2539927,0.227326,0.03948718,MiddleFinger
0.5593408,1,1,0.6944322,0.6580952,0.03978022,1,0.3574359,0.3131867,0.04681319,MiddleFinger
0.7079122,1,1,0.4538462,0.5083517,0.02454212,1,0.2539927,0.227326,0.03948718,MiddleFinger
0.5593408,1,1,0.6944322,0.6580952,0.03978022,1,0.3574359,0.3131867,0.04681319,MiddleFinger
