pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.1218315,0.1942125,0.1631502,0.04271062,0.09106227,0.03157509,0.1499634,0,0.07523809,0,Nothing
0.139707,0.2261539,0.2258608,0.1798535,0.2035898,0.1443956,0.2252747,0.06351648,0.1936264,0.01487179,Nothing
0.1212454,0.1942125,0.1631502,0.04271062,0.09135531,0.03157509,0.1499634,0,0.07465202,0,Nothing
0.139707,0.2261539,0.2258608,0.1798535,0.2035898,0.1443956,0.2252747,0.06293041,0.1947985,0.01457876,Nothing
0.1218315,0.1942125,0.1631502,0.04271062,0.09135531,0.03157509,0.1499634,0,0.07465202,0,Nothing
0.139707,0.2261539,0.2258608,0.1798535,0.2035898,0.1443956,0.2252747,0.06293041,0.1947985,0.01457876,Nothing
0.1218315,0.1942125,0.1631502,0.04271062,0.09106227,0.03157509,0.1499634,0,0.07523809,0,Nothing
0.139707,0.2261539,0.2258608,0.1798535,0.2035898,0.1443956,0.2252747,0.06293041,0.1947985,0.01457876,Nothing
0.1218315,0.1942125,0.1631502,0.04241758,0.09018315,0.03157509,0.1499634,0,0.07465202,0,Nothing
0.139707,0.2261539,0.2258608,0.1798535,0.2035898,0.1443956,0.2252747,0.06293041,0.1947985,0.01487179,Nothing
0.1218315,0.1942125,0.1631502,0.04241758,0.09018315,0.03157509,0.1499634,0,0.07465202,0,Nothing
0.139707,0.2261539,0.2258608,0.1798535,0.2035898,0.1443956,0.2252747,0.06293041,0.1947985,0.01428571,Nothing
0.1218315,0.1942125,0.1631502,0.04241758,0.09018315,0.03157509,0.1499634,0,0.07465202,0,Nothing
0.139707,0.2261539,0.2258608,0.1798535,0.2035898,0.1443956,0.2116483,0.06293041,0.1947985,0.01457876,Nothing
0.1218315,0.1942125,0.1631502,0.04241758,0.09018315,0.03157509,0.1499634,0,0.07465202,0,Nothing
0.139707,0.2261539,0.2258608,0.1798535,0.2035898,0.1443956,0.2047619,0.06293041,0.1947985,0.01428571,Nothing
0.1218315,0.1942125,0.1631502,0.04241758,0.09076923,0.03186813,0.1499634,0,0.07435898,0,Nothing
0.139707,0.2261539,0.2258608,0.1798535,0.2035898,0.1443956,0.2035897,0.06293041,0.1947985,0.01428571,Nothing
