pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0,0.02981685,0,0,0,0,0,0,0,0,OpenPalm
0,0.05824176,0,0.01106227,0,0.02952381,0,0,0.006959707,0.00959707,OpenPalm
0,0.02923077,0,0,0,0,0,0,0,0,OpenPalm
0,0.05794872,0,0.01076923,0,0.02981685,0,0,0.007252747,0.00989011,OpenPalm
0,0.02923077,0,0,0,0,0,0,0,0,OpenPalm
0,0.05765568,0,0.01076923,0,0.02952381,0,0,0.007838828,0.00959707,OpenPalm
0,0.02893773,0,0,0,0,0,0,0,0,OpenPalm
0,0.05765568,0,0.01047619,0,0.02952381,0,0,0.007838828,0.00989011,OpenPalm
0,0.02893773,0,0,0,0,0,0,0,0,OpenPalm
0,0.05677656,0,0.01018315,0,0.02893773,0,0,0.008131868,0.00959707,OpenPalm
0,0.02864469,0,0,0,0,0,0,0,0,OpenPalm
0,0.05677656,0,0.01018315,0,0.02893773,0,0,0.008131868,0.00959707,OpenPalm
0,0.02864469,0,0,0,0,0,0,0,0,OpenPalm
0,0.05648352,0,0.00989011,0,0.02864469,0,0,0.008131868,0.00959707,OpenPalm
0,0.02835165,0,0,0,0,0,0,0,0,OpenPalm
0,0.05648352,0,0.00989011,0,0.02864469,0,0,0.008424909,0.00989011,OpenPalm
0,0.02835165,0,0,0,0,0,0,0,0,OpenPalm
0,0.05648352,0,0.00989011,0,0.02864469,0,0,0.008131868,0.00989011,OpenPalm
0,0.02805861,0,0,0,0,0,0,0,0,OpenPalm
0,0.05619048,0,0.00989011,0,0.02864469,0,0,0.007838828,0.00959707,OpenPalm
0,0.02805861,0,0,0,0,0,0,0,0,OpenPalm
0,0.05619048,0,0.00959707,0,0.02835165,0,0,0.007838828,0.00959707,OpenPalm
0,0.02776557,0,0,0,0,0,0,0,0,OpenPalm
0,0.05619048,0,0.00959707,0,0.02835165,0,0,0.007252747,0.00959707,OpenPalm
0,0.02776557,0,0,0,0,0,0,0,0,OpenPalm
0,0.05589744,0,0.00959707,0,0.02835165,0,0,0.007252747,0.00989011,OpenPalm
0,0.02776557,0,0,0,0,0,0,0,0,OpenPalm
0,0.05560439,0,0.00959707,0,0.02805861,0,0,0.007252747,0.009304029,OpenPalm
0,0.02776557,0,0,0,0,0,0,0,0,OpenPalm
0,0.05560439,0,0.009304029,0,0.02805861,0,0,0.007252747,0.00959707,OpenPalm
0,0.02747253,0,0,0,0,0,0,0,0,OpenPalm
0,0.05501831,0,0.009304029,0,0.02805861,0,0,0.006959707,0.00959707,OpenPalm
0,0.02688645,0,0,0,0,0,0,0,0,OpenPalm
0,0.05501831,0,0.009304029,0,0.02776557,0,0,0.007252747,0.00959707,OpenPalm
0,0.02659341,0,0,0,0,0,0,0,0,OpenPalm
0,0.05472527,0,0.009304029,0,0.02776557,0,0,0.007252747,0.00989011,OpenPalm
0,0.02688645,0,0,0,0,0,0,0,0,OpenPalm
0,0.05501831,0,0.009304029,0,0.02776557,0,0,0.007252747,0.00959707,OpenPalm
0,0.02659341,0,0,0,0,0,0,0,0,OpenPalm
0,0.05443224,0,0.009010989,0,0.02776557,0,0,0.006959707,0.00989011,OpenPalm
0,0.02659341,0,0,0,0,0,0,0,0,OpenPalm
0,0.05472527,0,0.009010989,0,0.02717949,0,0,0.006959707,0.00989011,OpenPalm
0,0.02630037,0,0,0,0,0,0,0,0,OpenPalm
0,0.05443224,0,0.009010989,0,0.02717949,0,0,0.006959707,0.00959707,OpenPalm
0,0.02688645,0,0,0,0,0,0,0,0,OpenPalm
0,0.05472527,0,0.009010989,0,0.02717949,0,0,0.006959707,0.00959707,OpenPalm
0,0.02630037,0,0,0,0,0,0,0,0,OpenPalm
0,0.05413919,0,0.009010989,0,0.02717949,0,0,0.006373626,0.00959707,OpenPalm
0,0.02630037,0,0,0,0,0,0,0,0,OpenPalm
0,0.05413919,0,0.009010989,0,0.02688645,0,0,0.006080586,0.009304029,OpenPalm
0,0.02630037,0,0,0,0,0,0,0,0,OpenPalm
0,0.05413919,0,0.009010989,0,0.02688645,0,0,0.005787546,0.00959707,OpenPalm
0,0.02600733,0,0,0,0,0,0,0,0,OpenPalm
0,0.05413919,0,0.008717949,0,0.02688645,0,0,0.005787546,0.00959707,OpenPalm
0,0.02600733,0,0,0,0,0,0,0,0,OpenPalm
0,0.05384615,0,0.008717949,0,0.02688645,0,0,0.005494506,0.00959707,OpenPalm
0,0.02600733,0,0,0,0,0,0,0,0,OpenPalm
0,0.05384615,0,0.008717949,0,0.02659341,0,0,0.005494506,0.00959707,OpenPalm
0,0.02600733,0,0,0,0,0,0,0,0,OpenPalm
0,0.05384615,0,0.008717949,0,0.02659341,0,0,0.005494506,0.00959707,OpenPalm
0,0.02571429,0,0,0,0,0,0,0,0,OpenPalm
