pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.6504762,0.794066,1,0.8860805,0.7458609,0.3336996,0.04212454,0,0.270989,0,Pointing
0.4761172,0.5178754,0.7454213,1,0.8986814,0.4898901,0,0,0.3697435,0.01282051,Pointing
0.6504762,0.794066,1,0.8860805,0.7458609,0.3336996,0.04212454,0,0.270989,0,Pointing
0.4761172,0.5099633,0.7454213,1,0.8986814,0.4898901,0,0,0.3697435,0.01252747,Pointing
0.6504762,0.794066,1,0.8860805,0.7458609,0.3336996,0.0418315,0,0.270989,0,Pointing
0.4761172,0.4761172,0.7454213,1,0.8986814,0.4898901,0,0,0.3678387,0.01252747,Pointing
0.6504762,0.794066,1,0.8860805,0.7458609,0.3336996,0.0418315,0,0.270989,0,Pointing
0.4761172,0.4692307,0.7454213,1,0.8986814,0.4898901,0,0,0.3678387,0.01252747,Pointing
0.6504762,0.794066,1,0.8860805,0.7458609,0.3336996,0.04124542,0,0.270989,0,Pointing
0.4761172,0.4692307,0.7454213,1,0.8986814,0.4898901,0,0,0.3678387,0.01252747,Pointing
0.6504762,0.794066,1,0.8860805,0.7458609,0.3336996,0.04124542,0,0.270989,0,Pointing
0.4761172,0.4692307,0.7454213,1,0.8986814,0.4898901,0,0,0.3678387,0.01282051,Pointing
0.6504762,0.794066,1,0.8860805,0.7458609,0.3336996,0.04124542,0,0.270989,0,Pointing
0.4761172,0.4692307,0.7454213,1,0.8986814,0.4898901,0,0,0.3678387,0.01252747,Pointing
0.6504762,0.794066,1,0.8860805,0.7458609,0.3336996,0.04065934,0,0.270989,0,Pointing
0.4761172,0.4692307,0.7454213,1,0.8986814,0.4898901,0,0,0.3678387,0.01223443,Pointing
0.6504762,0.794066,1,0.8860805,0.7458609,0.3336996,0.04065934,0,0.270989,0,Pointing
0.4761172,0.4692307,0.7454213,1,0.8986814,0.4898901,0,0,0.3678387,0.01223443,Pointing
0.6504762,0.794066,1,0.8860805,0.7458609,0.3336996,0.03978022,0,0.270989,0,Pointing
0.4761172,0.4692307,0.7454213,1,0.8986814,0.4898901,0,0,0.3678387,0.01252747,Pointing
0.6504762,0.794066,1,0.8860805,0.7458609,0.3336996,0.03978022,0,0.270989,0,Pointing
0.4761172,0.4692307,0.7454213,1,0.8986814,0.4898901,0,0,0.3678387,0.01223443,Pointing
0.6504762,0.794066,1,0.8860805,0.7458609,0.3336996,0.03948718,0,0.270989,0,Pointing
0.4761172,0.4692307,0.7454213,1,0.8986814,0.4898901,0,0,0.3678387,0.01223443,Pointing
0.6504762,0.794066,1,0.8860805,0.7458609,0.3336996,0.03948718,0,0.270989,0,Pointing
0.4761172,0.4692307,0.7454213,1,0.8986814,0.4898901,0,0,0.3678387,0.01252747,Pointing
0.6504762,0.794066,1,0.8860805,0.7458609,0.3336996,0.03919414,0,0.270989,0,Pointing
0.4761172,0.4692307,0.7454213,1,0.8986814,0.4898901,0,0,0.3678387,0.01252747,Pointing
0.6504762,0.794066,1,0.8860805,0.7458609,0.3336996,0.0389011,0,0.270989,0,Pointing
0.4761172,0.4692307,0.7454213,1,0.8986814,0.4898901,0,0,0.3678387,0.01252747,Pointing
0.6504762,0.794066,1,0.8860805,0.7458609,0.3336996,0.0389011,0,0.270989,0,Pointing
0.4761172,0.4692307,0.7454213,1,0.8986814,0.4898901,0,0,0.3678387,0.01252747,Pointing
0.6504762,0.794066,1,0.8860805,0.7458609,0.3336996,0.0389011,0,0.270989,0,Pointing
0.4761172,0.4692307,0.7454213,1,0.8986814,0.4898901,0,0,0.3678387,0.01223443,Pointing
0.6504762,0.794066,1,0.8860805,0.7458609,0.3336996,0.03860806,0,0.270989,0,Pointing
0.4761172,0.4692307,0.7454213,1,0.8986814,0.4898901,0,0,0.3678387,0.01223443,Pointing
0.6504762,0.794066,1,0.8860805,0.7458609,0.3336996,0.03860806,0,0.270989,0,Pointing
0.4761172,0.4692307,0.7454213,1,0.8986814,0.4898901,0,0,0.3678387,0.01223443,Pointing
0.6504762,0.794066,1,0.8860805,0.7458609,0.3336996,0.03831502,0,0.270989,0,Pointing
0.4761172,0.4692307,0.7454213,1,0.8986814,0.4898901,0,0,0.3678387,0.01223443,Pointing
0.6504762,0.794066,1,0.8860805,0.7458609,0.3336996,0.03831502,0,0.270989,0,Pointing
0.4761172,0.4692307,0.7454213,1,0.8986814,0.4898901,0,0,0.3678387,0.01252747,Pointing
0.6504762,0.794066,1,0.8860805,0.7458609,0.3336996,0.03831502,0,0.270989,0,Pointing
0.4761172,0.4692307,0.7454213,1,0.8986814,0.4898901,0,0,0.3678387,0.01223443,Pointing
0.6504762,0.794066,1,0.8860805,0.7458609,0.3336996,0.03831502,0,0.270989,0,Pointing
0.4761172,0.4692307,0.7454213,1,0.8986814,0.4898901,0,0,0.3678387,0.01223443,Pointing
0.6504762,0.794066,1,0.8860805,0.7458609,0.3336996,0.03831502,0,0.270989,0,Pointing
0.4761172,0.4692307,0.7454213,1,0.8986814,0.4898901,0,0,0.3678387,0.01252747,Pointing
0.6504762,0.794066,1,0.8860805,0.7458609,0.3336996,0.03802198,0,0.270989,0,Pointing
0.4761172,0.4692307,0.7454213,1,0.8986814,0.4898901,0,0,0.3678387,0.01252747,Pointing
0.6504762,0.794066,1,0.8860805,0.7458609,0.3336996,0.03802198,0,0.270989,0,Pointing
0.4761172,0.4692307,0.7454213,1,0.8986814,0.4898901,0,0,0.3678387,0.01223443,Pointing
0.6504762,0.794066,1,0.8860805,0.7458609,0.3336996,0.03772894,0,0.270989,0,Pointing
