pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
1,0.6929671,1,0.1312088,0.8223444,0.2868132,0.4151648,0,0.2906227,0,HandGun
1,0.3782417,1,0.3147985,0.9487912,0.4919414,0.307326,0.016337,0.08490843,0.04241758,HandGun
1,0.6929671,1,0.1312088,0.82674,0.2868132,0.4151648,0,0.2909158,0,HandGun
1,0.3782417,1,0.3147985,0.9487912,0.4919414,0.307326,0.01604396,0.08461539,0.04212454,HandGun
1,0.6929671,1,0.1312088,0.8287913,0.2868132,0.4151648,0,0.2909158,0,HandGun
1,0.3782417,1,0.3147985,0.9487912,0.4919414,0.307326,0.01604396,0.08461539,0.04212454,HandGun
1,0.6929671,1,0.1312088,0.8323077,0.2868132,0.4151648,0,0.2909158,0,HandGun
1,0.3782417,1,0.3147985,0.9487912,0.4919414,0.307326,0.01604396,0.08461539,0.04241758,HandGun
1,0.6929671,1,0.1312088,0.8361173,0.2868132,0.4151648,0,0.2909158,0,HandGun
1,0.3782417,1,0.3147985,0.9487912,0.4919414,0.307326,0.01575092,0.08461539,0.04212454,HandGun
1,0.6929671,1,0.1312088,0.8396337,0.2868132,0.4151648,0,0.2932601,0,HandGun
1,0.3782417,1,0.3147985,0.9487912,0.4919414,0.307326,0.01575092,0.08461539,0.0418315,HandGun
1,0.6929671,1,0.1312088,0.8422711,0.2868132,0.4151648,0,0.2938462,0,HandGun
1,0.3782417,1,0.3147985,0.9487912,0.4919414,0.307326,0.01575092,0.08461539,0.0418315,HandGun
1,0.6929671,1,0.1312088,0.8507693,0.2868132,0.4151648,0,0.2935531,0,HandGun
1,0.3782417,1,0.3147985,0.9487912,0.4919414,0.307326,0.01545788,0.08461539,0.0418315,HandGun
1,0.6929671,1,0.1312088,0.8539927,0.2868132,0.4151648,0,0.2935531,0,HandGun
1,0.3782417,1,0.3147985,0.9487912,0.4919414,0.3079121,0.01545788,0.08432234,0.0418315,HandGun
1,0.6929671,1,0.1312088,0.863663,0.2868132,0.4151648,0,0.2935531,0,HandGun
1,0.3782417,1,0.3147985,0.9487912,0.4919414,0.3084982,0.01545788,0.08432234,0.04153846,HandGun
1,0.6929671,1,0.1312088,0.8698169,0.2868132,0.4151648,0,0.2956044,0,HandGun
1,0.3782417,1,0.3147985,0.9487912,0.4919414,0.3087912,0.01516484,0.08461539,0.04153846,HandGun
1,0.6929671,1,0.1312088,0.877729,0.2868132,0.4151648,0,0.2964835,0,HandGun
1,0.3782417,1,0.3147985,0.9487912,0.4919414,0.3099634,0.01516484,0.08461539,0.04153846,HandGun
1,0.6929671,1,0.1312088,0.9079121,0.2871062,0.4151648,0,0.2947253,0,HandGun
1,0.3782417,1,0.3147985,0.9487912,0.4919414,0.3114286,0.01516484,0.08461539,0.04153846,HandGun
1,0.6929671,1,0.1312088,0.9079121,0.2871062,0.4151648,0,0.2947253,0,HandGun
1,0.3782417,1,0.3147985,0.9487912,0.4919414,0.3114286,0.01516484,0.08461539,0.04153846,HandGun
1,0.6929671,1,0.1312088,0.9424909,0.2882784,0.4151648,0,0.2947253,0,HandGun
1,0.3782417,1,0.3147985,0.9487912,0.4919414,0.3123077,0.01457876,0.08490843,0.04124542,HandGun
1,0.6929671,1,0.1312088,0.9474726,0.2608792,0.4151648,0,0.2947253,0,HandGun
1,0.3782417,1,0.3147985,0.9487912,0.4919414,0.3140659,0.01457876,0.08461539,0.04124542,HandGun
1,0.6929671,1,0.1312088,0.9460074,0.2548718,0.4151648,0,0.2953113,0,HandGun
1,0.3782417,1,0.3147985,0.9487912,0.4919414,0.3158242,0.01457876,0.08490843,0.04095238,HandGun
1,0.6929671,1,0.1312088,0.9445422,0.2548718,0.4151648,0,0.2953113,0,HandGun
1,0.3782417,1,0.3147985,0.9487912,0.4919414,0.3161172,0.01457876,0.08490843,0.04095238,HandGun
1,0.6929671,1,0.1312088,0.9445422,0.2548718,0.4151648,0,0.2938461,0,HandGun
1,0.3782417,1,0.3147985,0.9493772,0.4919414,0.3172894,0.01428571,0.08578754,0.04065934,HandGun
1,0.6929671,1,0.1312088,0.9445422,0.2548718,0.4151648,0,0.2938461,0,HandGun
1,0.3782417,1,0.3147985,0.9493772,0.4919414,0.3172894,0.01428571,0.08578754,0.04065934,HandGun
1,0.6929671,1,0.1312088,0.9445422,0.2548718,0.4151648,0,0.2938461,0,HandGun
1,0.3782417,1,0.3147985,0.9493772,0.4919414,0.3172894,0.01428571,0.08578754,0.0403663,HandGun
1,0.6929671,1,0.1312088,0.9445422,0.2548718,0.4151648,0,0.2938461,0,HandGun
1,0.3782417,1,0.3147985,0.9493772,0.4919414,0.3172894,0.01399267,0.08578754,0.0403663,HandGun
1,0.6929671,1,0.1312088,0.9445422,0.2548718,0.4151648,0,0.2938461,0,HandGun
1,0.3782417,1,0.3147985,0.9493772,0.4919414,0.3172894,0.01399267,0.08578754,0.04007326,HandGun
1,0.6929671,1,0.1312088,0.9445422,0.2548718,0.4151648,0,0.2944322,0,HandGun
1,0.3782417,1,0.3147985,0.9511355,0.4919414,0.3172894,0.01399267,0.08578754,0.04007326,HandGun
1,0.6929671,1,0.1312088,0.9445422,0.2548718,0.4151648,0,0.2956044,0,HandGun
1,0.3782417,1,0.3147985,0.9496703,0.4919414,0.3184615,0.01369963,0.08578754,0.04007326,HandGun
1,0.6929671,1,0.1312088,0.9445422,0.2548718,0.4154579,0,0.2973626,0,HandGun
1,0.3782417,1,0.3147985,0.9496703,0.4919414,0.3196337,0.01340659,0.0854945,0.03978022,HandGun
1,0.6929671,1,0.1312088,0.9445422,0.2548718,0.4169231,0,0.2973626,0,HandGun
1,0.3782417,1,0.3147985,0.9496703,0.4919414,0.3202198,0.01340659,0.0854945,0.03948718,HandGun
1,0.6929671,1,0.1312088,0.9445422,0.2548718,0.4169231,0,0.2973626,0,HandGun
1,0.3782417,1,0.3147985,0.9496703,0.4919414,0.3208058,0.01340659,0.08578754,0.03948718,HandGun
1,0.6929671,1,0.1312088,0.9445422,0.2548718,0.4180952,0,0.2973626,0,HandGun
1,0.3782417,1,0.3147985,0.9496703,0.4919414,0.3208058,0.01340659,0.08578754,0.03948718,HandGun
1,0.6929671,1,0.1312088,0.9445422,0.2548718,0.4183883,0,0.2976557,0,HandGun
1,0.3782417,1,0.3147985,0.9496703,0.4919414,0.3208058,0.01311355,0.08608059,0.0389011,HandGun
1,0.6929671,1,0.1312088,0.9445422,0.2548718,0.4195604,0,0.2979487,0,HandGun
1,0.3782417,1,0.3147985,0.9496703,0.4919414,0.3208058,0.01311355,0.08608059,0.03831502,HandGun
1,0.6929671,1,0.1312088,0.9445422,0.2548718,0.4204396,0,0.2985348,0,HandGun
1,0.3782417,1,0.3147985,0.9496703,0.4919414,0.3246154,0.01311355,0.08608059,0.0374359,HandGun
1,0.6929671,1,0.1312088,0.9445422,0.2548718,0.4213187,0,0.2985348,0,HandGun
1,0.3782417,1,0.3147985,0.9496703,0.4919414,0.3249084,0.01311355,0.08608059,0.0374359,HandGun
1,0.6929671,1,0.1312088,0.9445422,0.2548718,0.4213187,0,0.2985348,0,HandGun
1,0.3782417,1,0.3147985,0.9496703,0.4919414,0.3243223,0.01311355,0.08666667,0.03714286,HandGun
1,0.6929671,1,0.1312088,0.9448352,0.2548718,0.4219048,0,0.2985348,0,HandGun
1,0.3782417,1,0.3147985,0.9496703,0.4919414,0.3240293,0.01311355,0.08666667,0.03684982,HandGun
1,0.6929671,1,0.1312088,0.9448352,0.2548718,0.4245421,0,0.3014652,0,HandGun
1,0.3782417,1,0.3147985,0.9496703,0.4919414,0.3240293,0.01311355,0.08666667,0.03655678,HandGun
