pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
1,0.3483517,1,0.04739927,1,0.00989011,1,0.4923809,1,1,MiddleFinger
0.6402198,0.2185348,0.9379487,0.1874725,0.8375823,0.06673992,1,0.5669597,1,0.8005128,MiddleFinger
1,0.3483517,1,0.0462271,1,0.00959707,1,0.4917949,1,1,MiddleFinger
0.6402198,0.2185348,0.9379487,0.1874725,0.8375823,0.06644689,1,0.5663736,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04593407,1,0.009304029,1,0.4917949,1,1,MiddleFinger
0.6402198,0.2185348,0.9379487,0.1874725,0.8375823,0.06644689,1,0.5654945,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04564103,1,0.009304029,1,0.4917949,1,1,MiddleFinger
0.6413919,0.2185348,0.9379487,0.1874725,0.8375823,0.06615385,1,0.5654945,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04534798,1,0.009304029,1,0.4917949,1,1,MiddleFinger
0.6443223,0.2185348,0.9385347,0.1874725,0.8375823,0.06615385,1,0.5654945,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04534798,1,0.009304029,1,0.4917949,1,1,MiddleFinger
0.6443223,0.2185348,0.9385347,0.1874725,0.8375823,0.06615385,1,0.5654945,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04505495,1,0.009304029,1,0.4917949,1,1,MiddleFinger
0.6449084,0.2185348,0.9385347,0.1874725,0.8375823,0.06615385,1,0.5654945,1,0.8005128,MiddleFinger
1,0.3483517,1,0.0447619,1,0.008717949,1,0.4917949,1,1,MiddleFinger
0.6481318,0.2185348,0.9385347,0.1874725,0.8375823,0.06586081,1,0.5654945,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04446886,1,0.008717949,1,0.4917949,1,1,MiddleFinger
0.6463736,0.2185348,0.9385347,0.1874725,0.8375823,0.06556777,1,0.5654945,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04446886,1,0.008424909,1,0.4917949,1,1,MiddleFinger
0.6463736,0.2185348,0.9385347,0.1874725,0.8375823,0.06527472,1,0.5654945,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04446886,1,0.008424909,1,0.4917949,1,1,MiddleFinger
0.6409525,0.2185348,0.9385347,0.1874725,0.8375823,0.06527472,1,0.5654945,1,0.8005128,MiddleFinger
1,0.3483517,1,0.0447619,1,0.008424909,1,0.4917949,1,1,MiddleFinger
0.6355311,0.2185348,0.9385347,0.1874725,0.8381684,0.06498168,1,0.5654945,1,0.8005128,MiddleFinger
1,0.3483517,1,0.0447619,1,0.008131868,1,0.4917949,1,1,MiddleFinger
0.6337729,0.2188278,0.9385347,0.1874725,0.8375823,0.06468865,1,0.5652015,1,0.8005128,MiddleFinger
1,0.3483517,1,0.0447619,1,0.008131868,1,0.4917949,1,1,MiddleFinger
0.6337729,0.2188278,0.9385347,0.1874725,0.8375823,0.06468865,1,0.5649085,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04417583,0.9941759,0.007838828,1,0.4917949,1,1,MiddleFinger
0.6337729,0.2188278,0.9397069,0.1874725,0.8375823,0.06439561,1,0.5649085,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04388278,0.9941759,0.007838828,1,0.4917949,1,1,MiddleFinger
0.6337729,0.2188278,0.940586,0.1874725,0.8375823,0.06439561,1,0.5649085,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04388278,0.9941759,0.007838828,1,0.4917949,1,1,MiddleFinger
0.6369963,0.2188278,0.9414651,0.1874725,0.8375823,0.06380952,1,0.5649085,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04358974,0.9941759,0.007545787,1,0.4917949,1,1,MiddleFinger
0.6399267,0.2188278,0.940879,0.1874725,0.8375823,0.06380952,1,0.5649085,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04358974,0.9941759,0.007545787,1,0.4917949,1,1,MiddleFinger
0.642271,0.2188278,0.9411721,0.1874725,0.8375823,0.06351648,1,0.5649085,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04358974,0.9941759,0.007545787,1,0.4917949,1,1,MiddleFinger
0.6405128,0.2188278,0.9411721,0.1874725,0.8375823,0.06351648,1,0.5649085,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04358974,0.9941759,0.007252747,1,0.4917949,1,1,MiddleFinger
0.6405128,0.2188278,0.9411721,0.1874725,0.8375823,0.06351648,1,0.5649085,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04358974,0.9941759,0.007252747,1,0.4917949,1,1,MiddleFinger
0.6405128,0.2188278,0.9411721,0.1874725,0.8375823,0.06322344,1,0.5649085,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04358974,0.9941759,0.007252747,1,0.4917949,1,1,MiddleFinger
0.6405128,0.2188278,0.9411721,0.1874725,0.8375823,0.06322344,1,0.5649085,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04358974,0.9941759,0.007252747,1,0.4917949,1,1,MiddleFinger
0.6314286,0.2188278,0.9411721,0.1874725,0.8375823,0.06293041,1,0.5649085,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04300366,0.9941759,0.006959707,1,0.4917949,1,1,MiddleFinger
0.6308425,0.2188278,0.9411721,0.1874725,0.8375823,0.06293041,1,0.5649085,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04300366,0.9869964,0.006959707,1,0.4917949,1,1,MiddleFinger
0.6308425,0.2188278,0.9411721,0.1874725,0.8375823,0.06293041,1,0.5649085,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04300366,0.9701831,0.006959707,1,0.4917949,1,1,MiddleFinger
0.6308425,0.2188278,0.9411721,0.1874725,0.8375823,0.06263737,1,0.5649085,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04300366,0.9701831,0.006959707,1,0.4917949,1,1,MiddleFinger
0.6308425,0.2188278,0.9411721,0.1874725,0.8375823,0.06263737,1,0.5649085,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04300366,0.9701831,0.006959707,1,0.4917949,1,1,MiddleFinger
0.6308425,0.2188278,0.9411721,0.1874725,0.8375823,0.06263737,1,0.5649085,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04271062,0.9701831,0.006959707,1,0.4917949,1,1,MiddleFinger
0.6308425,0.2188278,0.9411721,0.1874725,0.8375823,0.06263737,1,0.5649085,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04300366,0.9701831,0.006666667,1,0.4917949,1,1,MiddleFinger
0.6308425,0.2188278,0.9411721,0.1874725,0.8375823,0.06263737,1,0.5649085,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04300366,0.9701831,0.006666667,1,0.4917949,1,1,MiddleFinger
0.6308425,0.2188278,0.9411721,0.1874725,0.8375823,0.06263737,1,0.5649085,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04271062,0.9701831,0.006959707,1,0.4917949,1,1,MiddleFinger
0.6308425,0.2188278,0.9411721,0.1874725,0.8375823,0.06263737,1,0.5649085,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04300366,0.9701831,0.006666667,1,0.4917949,1,1,MiddleFinger
0.6308425,0.2188278,0.9411721,0.1874725,0.8375823,0.06263737,1,0.5649085,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04300366,0.9701831,0.006666667,1,0.4917949,1,1,MiddleFinger
0.6308425,0.2188278,0.9411721,0.1874725,0.8375823,0.06263737,1,0.5649085,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04271062,0.9701831,0.006666667,1,0.4917949,1,1,MiddleFinger
0.6308425,0.2188278,0.9411721,0.1874725,0.8375823,0.06263737,1,0.5649085,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04271062,0.9701831,0.006666667,1,0.4917949,1,1,MiddleFinger
0.6308425,0.2188278,0.9411721,0.1874725,0.8375823,0.06263737,1,0.5649085,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04271062,0.9701831,0.006666667,1,0.4917949,1,1,MiddleFinger
0.6308425,0.2188278,0.9411721,0.1874725,0.8375823,0.06234432,1,0.5649085,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04271062,0.9701831,0.006666667,1,0.4917949,1,1,MiddleFinger
0.6308425,0.2188278,0.9411721,0.1874725,0.8375823,0.06234432,1,0.5649085,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04271062,0.9701831,0.006666667,1,0.4917949,1,1,MiddleFinger
0.6308425,0.2188278,0.9411721,0.1874725,0.8375823,0.06234432,1,0.5649085,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04271062,0.9701831,0.006080586,1,0.4917949,1,1,MiddleFinger
0.6308425,0.2188278,0.9411721,0.1874725,0.8375823,0.06234432,1,0.5649085,1,0.8005128,MiddleFinger
1,0.3483517,1,0.04271062,0.9701831,0.006080586,1,0.4917949,1,1,MiddleFinger
