pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.3934799,0.2613187,0.3202198,0.01194139,0.3586081,0.03684982,0.4503297,0.06586081,0.5423443,0.04300366,Nothing
0.2847619,0.2270329,0.3659341,0.08051282,0.3744322,0.08871795,0.4161905,0.1482051,0.6935531,0.09135531,Nothing
0.3934799,0.2613187,0.3202198,0.01164835,0.3586081,0.03684982,0.4503297,0.06556777,0.5423443,0.04300366,Nothing
0.2847619,0.2270329,0.3659341,0.08021978,0.3744322,0.08871795,0.4161905,0.1482051,0.6935531,0.09135531,Nothing
0.3934799,0.2613187,0.3202198,0.01164835,0.3586081,0.03684982,0.4503297,0.06556777,0.5423443,0.04271062,Nothing
0.2847619,0.2270329,0.3659341,0.08021978,0.3744322,0.08871795,0.4161905,0.1482051,0.6935531,0.09106227,Nothing
0.3934799,0.2613187,0.3202198,0.01194139,0.3586081,0.03684982,0.4503297,0.06556777,0.5423443,0.04271062,Nothing
0.2847619,0.2270329,0.3659341,0.08021978,0.3744322,0.08871795,0.4161905,0.1482051,0.6935531,0.09106227,Nothing
0.3934799,0.2613187,0.3202198,0.01194139,0.3586081,0.03684982,0.4503297,0.06556777,0.5423443,0.04271062,Nothing
0.2847619,0.2270329,0.3659341,0.08021978,0.3744322,0.08871795,0.4161905,0.1482051,0.6935531,0.09106227,Nothing
0.3934799,0.2613187,0.3202198,0.01194139,0.3586081,0.03684982,0.4503297,0.06527472,0.5423443,0.04241758,Nothing
0.2847619,0.2270329,0.3659341,0.08021978,0.3744322,0.08871795,0.4161905,0.1482051,0.6935531,0.09076923,Nothing
0.3934799,0.2613187,0.3202198,0.01164835,0.3586081,0.03684982,0.4503297,0.06527472,0.5423443,0.04241758,Nothing
0.2847619,0.2265934,0.3659341,0.08021978,0.3744322,0.08871795,0.4161905,0.1482051,0.6935531,0.09076923,Nothing
0.3934799,0.2613187,0.3202198,0.01164835,0.3586081,0.03684982,0.4503297,0.06527472,0.5423443,0.04241758,Nothing
0.2847619,0.2265934,0.3659341,0.08021978,0.3744322,0.08871795,0.4161905,0.1482051,0.6935531,0.09076923,Nothing
0.3934799,0.2613187,0.3202198,0.01164835,0.3586081,0.03684982,0.4503297,0.06527472,0.5423443,0.04212454,Nothing
0.2847619,0.2265934,0.3659341,0.0796337,0.3744322,0.08871795,0.4161905,0.1482051,0.6935531,0.09047619,Nothing
0.3934799,0.2613187,0.3202198,0.01164835,0.3586081,0.03684982,0.4503297,0.06527472,0.5423443,0.04212454,Nothing
0.2847619,0.2265934,0.3659341,0.0796337,0.3744322,0.08871795,0.4161905,0.1482051,0.6935531,0.09047619,Nothing
0.3934799,0.2613187,0.3202198,0.01164835,0.3586081,0.03684982,0.4503297,0.06498168,0.5423443,0.04212454,Nothing
