pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.0359707,0.05472527,0.005494506,0,0,0,0,0,0.2759707,0,OpenPalm
0.04007326,0.05794872,0.0418315,0.006959707,0.01018315,0.01164835,0.02307692,0,0.2150183,0,OpenPalm
0.0359707,0.05472527,0.005494506,0,0,0,0,0,0.2759707,0,OpenPalm
0.03948718,0.05794872,0.0418315,0.006959707,0.01018315,0.01164835,0.02307692,0,0.2150183,0,OpenPalm
0.03567766,0.05384615,0.005494506,0,0,0,0,0,0.2759707,0,OpenPalm
0.03919414,0.05765568,0.04153846,0.006666667,0.01047619,0.01135531,0.02336996,0,0.2150183,0,OpenPalm
0.03567766,0.05384615,0.005201465,0,0,0,0,0,0.2759707,0,OpenPalm
0.03919414,0.05765568,0.04124542,0.006666667,0.01047619,0.01135531,0.02336996,0,0.2150183,0,OpenPalm
0.03538461,0.05384615,0.005201465,0,0,0,0,0,0.2759707,0,OpenPalm
0.0389011,0.05736264,0.04124542,0.006666667,0.01076923,0.01106227,0.023663,0,0.2150183,0,OpenPalm
0.03538461,0.05355311,0.005201465,0,0,0,0,0,0.2759707,0,OpenPalm
0.03860806,0.0570696,0.04065934,0.006373626,0.01076923,0.01076923,0.02395604,0,0.2150183,0,OpenPalm
0.03509158,0.05355311,0.005201465,0,0,0,0,0,0.2759707,0,OpenPalm
0.03831502,0.05677656,0.04065934,0.006373626,0.01106227,0.01076923,0.02395604,0,0.2150183,0,OpenPalm
0.03509158,0.05326007,0.004908425,0,0,0,0,0,0.2759707,0,OpenPalm
0.03802198,0.05677656,0.0403663,0.006373626,0.01135531,0.01076923,0.02395604,0,0.2150183,0,OpenPalm
0.03509158,0.05326007,0.004908425,0,0,0,0,0,0.2759707,0,OpenPalm
0.03802198,0.05677656,0.0403663,0.006373626,0.01135531,0.01076923,0.02424908,0,0.2150183,0,OpenPalm
0.03479854,0.05296703,0.004322344,0,0,0,0,0,0.2759707,0,OpenPalm
0.03772894,0.05648352,0.04007326,0.006080586,0.01164835,0.01018315,0.02424908,0,0.2150183,0,OpenPalm
0.03450549,0.05267399,0.004322344,0,0,0,0,0,0.2759707,0,OpenPalm
0.03714286,0.05619048,0.03978022,0.005787546,0.01164835,0.01018315,0.02424908,0,0.2150183,0,OpenPalm
0.03450549,0.05267399,0.004322344,0,0,0,0,0,0.2759707,0,OpenPalm
0.03684982,0.05589744,0.03919414,0.005787546,0.01223443,0.00989011,0.02483517,0,0.2150183,0,OpenPalm
0.03421246,0.05238095,0.004322344,0,0,0,0,0,0.2759707,0,OpenPalm
0.03684982,0.05589744,0.03919414,0.005787546,0.01252747,0.00989011,0.02483517,0,0.2150183,0,OpenPalm
0.03391941,0.05208791,0.004029304,0,0,0,0,0,0.2759707,0,OpenPalm
0.03626374,0.05560439,0.0389011,0.005494506,0.01282051,0.00959707,0.02542125,0,0.2150183,0,OpenPalm
0.03421246,0.05208791,0.004029304,0,0,0,0,0,0.2759707,0,OpenPalm
0.03626374,0.05560439,0.0389011,0.005494506,0.01282051,0.00959707,0.02542125,0,0.2150183,0,OpenPalm
0.03391941,0.05208791,0.004029304,0,0,0,0,0,0.2759707,0,OpenPalm
0.03626374,0.05501831,0.03860806,0.005494506,0.01282051,0.00959707,0.0251282,0,0.2150183,0,OpenPalm
0.03391941,0.05208791,0.003736264,0,0,0,0,0,0.2759707,0,OpenPalm
0.0359707,0.05501831,0.03860806,0.005494506,0.01282051,0.00959707,0.02542125,0,0.2150183,0,OpenPalm
0.03391941,0.05208791,0.003736264,0,0,0,0,0,0.2759707,0,OpenPalm
0.0359707,0.05501831,0.03860806,0.005494506,0.01282051,0.00959707,0.02542125,0,0.2150183,0,OpenPalm
0.03391941,0.05150183,0.003736264,0,0,0,0,0,0.2759707,0,OpenPalm
0.03538461,0.05443224,0.03831502,0.005201465,0.01311355,0.009304029,0.02630037,0,0.2150183,0,OpenPalm
0.03391941,0.05120879,0.003736264,0,0,0,0,0,0.2759707,0,OpenPalm
0.03538461,0.05443224,0.03831502,0.005201465,0.01340659,0.009304029,0.02688645,0,0.2150183,0,OpenPalm
0.03362637,0.05120879,0.003736264,0,0,0,0,0,0.2759707,0,OpenPalm
0.03538461,0.05443224,0.03802198,0.005201465,0.01369963,0.009304029,0.02747253,0,0.2150183,0,OpenPalm
0.03362637,0.05120879,0.003736264,0,0,0,0,0,0.2759707,0,OpenPalm
0.03538461,0.05443224,0.03802198,0.005201465,0.01369963,0.009010989,0.02776557,0,0.2150183,0,OpenPalm
0.03362637,0.05091575,0.003736264,0,0,0,0,0,0.2759707,0,OpenPalm
0.03538461,0.05413919,0.03802198,0.005201465,0.01428571,0.009010989,0.02805861,0,0.2150183,0,OpenPalm
0.03333334,0.05091575,0.003736264,0,0,0,0,0,0.2759707,0,OpenPalm
0.03538461,0.05413919,0.03802198,0.004908425,0.01428571,0.009010989,0.02835165,0,0.2150183,0,OpenPalm
0.03333334,0.05091575,0.003443223,0,0,0,0,0,0.2759707,0,OpenPalm
0.03538461,0.05413919,0.03772894,0.004908425,0.01428571,0.009010989,0.02864469,0,0.2150183,0,OpenPalm
0.03333334,0.05062271,0.003443223,0,0,0,0,0,0.2759707,0,OpenPalm
0.03538461,0.05413919,0.03772894,0.004908425,0.01457876,0.008717949,0.02893773,0,0.2150183,0,OpenPalm
0.03304029,0.05032967,0.003443223,0,0,0,0,0,0.2759707,0,OpenPalm
0.03479854,0.05355311,0.03772894,0.004908425,0.01457876,0.008717949,0.02923077,0,0.2150183,0,OpenPalm
0.03304029,0.05062271,0.003443223,0,0,0,0,0,0.2759707,0,OpenPalm
0.03479854,0.05355311,0.03772894,0.004615385,0.01457876,0.008717949,0.02952381,0,0.2150183,0,OpenPalm
0.03304029,0.05062271,0.003443223,0,0,0,0,0,0.2759707,0,OpenPalm
0.03479854,0.05384615,0.03772894,0.004615385,0.01487179,0.008717949,0.02981685,0,0.2150183,0,OpenPalm
0.03304029,0.05032967,0.003150183,0,0,0,0,0,0.2759707,0,OpenPalm
0.03479854,0.05355311,0.0374359,0.004615385,0.01487179,0.008717949,0.03040293,0,0.2150183,0,OpenPalm
0.03304029,0.05003663,0.003150183,0,0,0,0,0,0.2759707,0,OpenPalm
0.03450549,0.05355311,0.0374359,0.004615385,0.01487179,0.008424909,0.03069597,0,0.2150183,0,OpenPalm
0.03304029,0.05003663,0.003150183,0,0,0,0,0,0.2759707,0,OpenPalm
0.03450549,0.05326007,0.0374359,0.004322344,0.01487179,0.008424909,0.03098901,0,0.2150183,0,OpenPalm
0.03274725,0.05003663,0.003150183,0,0,0,0,0,0.2759707,0,OpenPalm
0.03450549,0.05326007,0.03714286,0.004322344,0.01487179,0.008424909,0.03098901,0,0.2150183,0,OpenPalm
0.03274725,0.04974359,0.003150183,0,0,0,0,0,0.2759707,0,OpenPalm
0.03450549,0.05355311,0.03714286,0.004322344,0.01487179,0.008424909,0.03098901,0,0.2150183,0,OpenPalm
0.03274725,0.04974359,0.003150183,0,0,0,0,0,0.2759707,0,OpenPalm
0.03450549,0.05326007,0.03714286,0.004322344,0.01516484,0.008424909,0.03128205,0,0.2150183,0,OpenPalm
0.03274725,0.04974359,0.002857143,0,0,0,0,0,0.2759707,0,OpenPalm
0.03450549,0.05326007,0.03714286,0.004322344,0.01516484,0.008424909,0.03157509,0,0.2150183,0,OpenPalm
0.03245421,0.04945055,0.002857143,0,0,0,0,0,0.2759707,0,OpenPalm
0.03450549,0.05267399,0.03714286,0.004322344,0.01516484,0.008424909,0.03186813,0,0.2150183,0,OpenPalm
0.03245421,0.05003663,0.002857143,0,0,0,0,0,0.2759707,0,OpenPalm
0.03421246,0.05267399,0.03714286,0.004322344,0.01516484,0.008131868,0.03245421,0,0.2150183,0,OpenPalm
0.03245421,0.04945055,0.002857143,0,0,0,0,0,0.2759707,0,OpenPalm
0.03421246,0.05267399,0.03714286,0.004322344,0.01516484,0.008131868,0.03304029,0,0.2150183,0,OpenPalm
0.03245421,0.04945055,0.002857143,0,0,0,0,0,0.2759707,0,OpenPalm
0.03421246,0.05238095,0.03684982,0.004029304,0.01545788,0.008131868,0.03362637,0,0.2150183,0,OpenPalm
0.03245421,0.04945055,0.002857143,0,0,0,0,0,0.2759707,0,OpenPalm
0.03421246,0.05238095,0.03684982,0.004029304,0.01545788,0.007838828,0.03391941,0,0.2150183,0,OpenPalm
0.03216117,0.04915751,0.002857143,0,0,0,0,0,0.2759707,0,OpenPalm
0.03421246,0.05208791,0.03684982,0.004029304,0.01545788,0.007838828,0.03421246,0,0.2150183,0,OpenPalm
0.03216117,0.04915751,0.002857143,0,0,0,0,0,0.2759707,0,OpenPalm
