pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.5167032,0.9297436,0.8500366,0.3968499,0.4787546,0.4947253,0.2194139,0,1,0.183663,Pointing
0.7266667,0.8611722,0.910403,0.46,0.6205861,0.7589011,0.2226374,0,1,0.2554579,Pointing
0.5167032,0.9297436,0.8500366,0.3968499,0.4787546,0.4947253,0.2205861,0,1,0.183663,Pointing
0.7266667,0.8611722,0.910403,0.46,0.6205861,0.7589011,0.2226374,0,1,0.2554579,Pointing
0.5167032,0.9297436,0.8500366,0.3968499,0.4787546,0.4947253,0.2211722,0,1,0.183663,Pointing
0.7266667,0.8611722,0.910403,0.46,0.6205861,0.7589011,0.2226374,0,1,0.2554579,Pointing
0.5167032,0.9297436,0.8500366,0.3968499,0.4787546,0.4947253,0.2220513,0,1,0.183663,Pointing
0.7266667,0.8611722,0.910403,0.46,0.6205861,0.7589011,0.2226374,0,1,0.2554579,Pointing
0.5167032,0.9297436,0.8500366,0.3968499,0.4787546,0.4947253,0.2220513,0,1,0.1829304,Pointing
0.7266667,0.8611722,0.910403,0.46,0.6205861,0.7589011,0.2226374,0,1,0.2554579,Pointing
0.5167032,0.9297436,0.8500366,0.3968499,0.4787546,0.4947253,0.2220513,0,1,0.1829304,Pointing
0.7266667,0.8611722,0.910403,0.46,0.6205861,0.7589011,0.2226374,0,1,0.2554579,Pointing
0.5167032,0.9297436,0.8500366,0.3968499,0.4787546,0.4947253,0.2220513,0,1,0.1829304,Pointing
0.7266667,0.8611722,0.910403,0.46,0.6205861,0.7589011,0.2226374,0,1,0.2554579,Pointing
0.5167032,0.9297436,0.8500366,0.3968499,0.4787546,0.4947253,0.2220513,0,1,0.1829304,Pointing
0.7272528,0.8611722,0.910403,0.46,0.6205861,0.7589011,0.2226374,0,1,0.2554579,Pointing
0.5167032,0.9297436,0.8500366,0.3968499,0.4787546,0.4947253,0.2220513,0,1,0.1820513,Pointing
0.7272528,0.8611722,0.910403,0.46,0.6205861,0.7589011,0.2226374,0,1,0.2554579,Pointing
0.5167032,0.9297436,0.8500366,0.3968499,0.4787546,0.4947253,0.2220513,0,1,0.1820513,Pointing
0.7272528,0.8611722,0.910403,0.46,0.6205861,0.7589011,0.2226374,0,1,0.2554579,Pointing
0.5167032,0.9297436,0.8500366,0.3968499,0.4787546,0.4947253,0.2220513,0,1,0.1820513,Pointing
0.7272528,0.8611722,0.910403,0.46,0.6205861,0.7589011,0.2226374,0,1,0.2554579,Pointing
0.5167032,0.9297436,0.8500366,0.3968499,0.4787546,0.4947253,0.2220513,0,1,0.1820513,Pointing
0.7272528,0.8611722,0.910403,0.46,0.6205861,0.7589011,0.2226374,0,1,0.2554579,Pointing
0.5167032,0.9297436,0.8500366,0.3968499,0.4787546,0.4947253,0.2220513,0,1,0.1820513,Pointing
0.7272528,0.8611722,0.910403,0.46,0.6205861,0.7589011,0.2226374,0,1,0.2554579,Pointing
0.5167032,0.9297436,0.8500366,0.3968499,0.4787546,0.4947253,0.2220513,0,1,0.1820513,Pointing
0.7272528,0.8611722,0.910403,0.46,0.6205861,0.7589011,0.2226374,0,1,0.2554579,Pointing
0.5167032,0.9297436,0.8500366,0.3968499,0.4787546,0.4947253,0.2220513,0,1,0.1820513,Pointing
0.7272528,0.8611722,0.910403,0.46,0.6205861,0.7589011,0.2226374,0,1,0.2554579,Pointing
0.5167032,0.9297436,0.8500366,0.3968499,0.4787546,0.4947253,0.2220513,0,1,0.1820513,Pointing
0.7272528,0.8611722,0.910403,0.46,0.6205861,0.7589011,0.2226374,0,1,0.2554579,Pointing
0.5167032,0.9297436,0.8500366,0.3968499,0.4787546,0.4947253,0.2223443,0,1,0.1820513,Pointing
0.7272528,0.8611722,0.910403,0.46,0.6205861,0.7589011,0.2226374,0,1,0.2554579,Pointing
0.5167032,0.9297436,0.8500366,0.3968499,0.4787546,0.4947253,0.2223443,0,1,0.1820513,Pointing
0.7272528,0.8611722,0.910403,0.46,0.6205861,0.7589011,0.2226374,0,1,0.2554579,Pointing
0.5167032,0.9297436,0.8500366,0.3968499,0.4787546,0.4947253,0.2223443,0,1,0.1820513,Pointing
0.7272528,0.8611722,0.910403,0.46,0.6205861,0.7589011,0.2226374,0,1,0.2554579,Pointing
