pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.1807326,0.07992674,1,0.2308425,1,0.4626374,1,0.2431502,0.05150183,0,Telephone
0.1914286,0.1164103,1,0.3694505,1,0.5139194,0.9698901,0.3934799,0.01721612,0,Telephone
0.1807326,0.07992674,1,0.2308425,1,0.4626374,1,0.2431502,0.05150183,0,Telephone
0.1914286,0.1164103,1,0.3694505,1,0.5139194,0.9698901,0.3934799,0.01721612,0,Telephone
0.1810256,0.07992674,1,0.2308425,1,0.4626374,1,0.2431502,0.05120879,0,Telephone
0.1914286,0.1167034,1,0.3694505,1,0.5139194,0.9698901,0.3934799,0.01721612,0,Telephone
0.1810256,0.07992674,1,0.2308425,1,0.4626374,1,0.2431502,0.05150183,0,Telephone
0.1914286,0.1164103,1,0.3694505,1,0.5139194,0.9698901,0.3934799,0.01750916,0,Telephone
0.1810256,0.07992674,1,0.2308425,1,0.4626374,1,0.2431502,0.05120879,0,Telephone
0.190989,0.1167034,1,0.3694505,1,0.5139194,0.9698901,0.3934799,0.01750916,0,Telephone
0.1810256,0.07992674,1,0.2308425,1,0.4626374,1,0.2431502,0.05120879,0,Telephone
0.190989,0.1164103,1,0.3694505,1,0.5139194,0.9698901,0.3934799,0.01721612,0,Telephone
0.1810256,0.0796337,1,0.2308425,1,0.4626374,1,0.2431502,0.05062271,0,Telephone
0.190989,0.1161173,1,0.3694505,1,0.5139194,0.9698901,0.3934799,0.01721612,0,Telephone
0.1810256,0.0796337,1,0.2308425,1,0.4626374,1,0.2431502,0.05062271,0,Telephone
0.190989,0.1161173,1,0.3694505,1,0.5139194,0.9698901,0.3934799,0.01721612,0,Telephone
0.1810256,0.0796337,1,0.2308425,1,0.4626374,1,0.2431502,0.05120879,0,Telephone
0.190989,0.1159708,1,0.3694505,1,0.5139194,0.9698901,0.3934799,0.01721612,0,Telephone
0.1810256,0.0796337,1,0.2308425,1,0.4626374,1,0.2431502,0.05062271,0,Telephone
0.190403,0.1158242,1,0.3694505,1,0.5139194,0.9698901,0.3934799,0.01721612,0,Telephone
0.1810256,0.0796337,1,0.2308425,1,0.4626374,1,0.2431502,0.05032967,0,Telephone
0.190403,0.1146521,1,0.3694505,1,0.5139194,0.9698901,0.3934799,0.01721612,0,Telephone
0.1810256,0.07934066,1,0.2308425,1,0.4626374,1,0.2431502,0.05032967,0,Telephone
0.190403,0.1136265,1,0.3694505,1,0.5139194,0.9698901,0.3934799,0.01721612,0,Telephone
0.1810256,0.07934066,1,0.2308425,1,0.4626374,1,0.2431502,0.05032967,0,Telephone
0.190403,0.1128938,1,0.3694505,1,0.5139194,0.9698901,0.3934799,0.01721612,0,Telephone
0.1810256,0.07934066,1,0.2308425,1,0.4626374,1,0.2431502,0.05032967,0,Telephone
0.190403,0.1126008,1,0.3694505,1,0.5139194,0.9698901,0.3934799,0.01721612,0,Telephone
0.1810256,0.07934066,1,0.2308425,1,0.4626374,1,0.2431502,0.05032967,0,Telephone
0.190403,0.1120147,1,0.3694505,1,0.5139194,0.9698901,0.3934799,0.01721612,0,Telephone
0.1810256,0.07934066,1,0.2308425,1,0.4626374,1,0.2431502,0.05032967,0,Telephone
0.190403,0.1120147,1,0.3694505,1,0.5139194,0.9698901,0.3934799,0.01721612,0,Telephone
0.1810256,0.07875458,1,0.2308425,1,0.4626374,1,0.2431502,0.05003663,0,Telephone
0.190403,0.1120147,1,0.3694505,1,0.5139194,0.9698901,0.3934799,0.01721612,0,Telephone
0.1810256,0.07875458,1,0.2308425,1,0.4626374,1,0.2431502,0.05003663,0,Telephone
0.190403,0.1120147,1,0.3694505,1,0.5139194,0.9698901,0.3934799,0.01663004,0,Telephone
0.1810256,0.07934066,1,0.2308425,1,0.4626374,1,0.2431502,0.04945055,0,Telephone
0.1899634,0.1118682,1,0.3694505,1,0.5139194,0.9698901,0.3934799,0.01663004,0,Telephone
0.1810256,0.07934066,1,0.2308425,1,0.4626374,1,0.2431502,0.04945055,0,Telephone
0.1899634,0.1118682,1,0.3694505,1,0.5139194,0.9698901,0.3934799,0.01663004,0,Telephone
0.1810256,0.07846154,1,0.2308425,1,0.4626374,1,0.2431502,0.04945055,0,Telephone
0.1895238,0.1114286,1,0.3694505,1,0.5139194,0.9698901,0.3934799,0.01663004,0,Telephone
0.1810256,0.07934066,1,0.2308425,1,0.4626374,1,0.2431502,0.04945055,0,Telephone
0.1895238,0.1114286,1,0.3694505,1,0.5139194,0.9698901,0.3934799,0.01663004,0,Telephone
0.1810256,0.07846154,1,0.2308425,1,0.4626374,1,0.2431502,0.04945055,0,Telephone
