pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.6176557,1,1,1,0.8136997,1,1,0.8465201,0,0,ThumbsUp
0.9364835,1,1,1,1,0.8450549,1,1,0.03538461,0,ThumbsUp
0.6182418,1,1,1,0.8136997,1,1,0.8465201,0,0,ThumbsUp
0.9364835,1,1,1,1,0.8450549,1,1,0.03567766,0,ThumbsUp
0.6185348,1,1,1,0.8136997,1,1,0.8465201,0,0,ThumbsUp
0.9364835,1,1,1,1,0.8450549,1,1,0.03567766,0,ThumbsUp
0.6194139,1,1,1,0.8136997,1,1,0.8465201,0,0,ThumbsUp
0.9364835,1,1,1,1,0.8450549,1,1,0.03567766,0,ThumbsUp
0.6188279,1,1,1,0.8136997,1,1,0.8465201,0,0,ThumbsUp
0.9364835,1,1,1,1,0.8450549,1,1,0.03567766,0,ThumbsUp
0.6188279,1,1,1,0.8136997,1,1,0.8465201,0,0,ThumbsUp
0.9364835,1,1,1,1,0.8450549,1,1,0.03567766,0,ThumbsUp
0.6138462,1,1,1,0.8136997,1,1,0.8465201,0,0,ThumbsUp
0.9364835,1,1,1,1,0.8450549,1,1,0.03567766,0,ThumbsUp
0.6138462,1,1,1,0.8136997,1,1,0.8465201,0,0,ThumbsUp
0.9364835,1,1,1,1,0.8450549,1,1,0.03538461,0,ThumbsUp
0.6021246,1,1,1,0.8136997,1,1,0.8465201,0,0,ThumbsUp
0.9364835,1,1,1,1,0.8450549,1,1,0.03538461,0,ThumbsUp
0.5898169,1,1,1,0.8136997,1,1,0.8465201,0,0,ThumbsUp
0.9364835,1,1,1,1,0.8450549,1,1,0.03538461,0,ThumbsUp
0.5898169,1,1,1,0.8136997,1,1,0.8465201,0,0,ThumbsUp
0.9364835,1,1,1,1,0.8450549,1,1,0.03538461,0,ThumbsUp
0.5898169,1,1,1,0.8136997,1,1,0.8465201,0,0,ThumbsUp
0.9364835,1,1,1,1,0.8450549,1,1,0.0359707,0,ThumbsUp
0.5898169,1,1,1,0.8136997,1,1,0.8465201,0,0,ThumbsUp
0.9364835,1,1,1,1,0.8450549,1,1,0.0359707,0,ThumbsUp
0.5898169,1,1,1,0.8136997,1,1,0.8465201,0,0,ThumbsUp
0.9364835,1,1,1,1,0.8450549,1,1,0.03567766,0,ThumbsUp
0.5898169,1,1,1,0.8136997,1,1,0.8465201,0,0,ThumbsUp
0.9364835,1,1,1,1,0.8450549,1,1,0.0359707,0,ThumbsUp
0.5898169,1,1,1,0.8136997,1,1,0.8465201,0,0,ThumbsUp
0.9364835,1,1,1,1,0.8450549,1,1,0.0359707,0,ThumbsUp
0.5898169,1,1,1,0.8136997,1,1,0.8465201,0,0,ThumbsUp
0.9364835,1,1,1,1,0.8450549,1,1,0.03567766,0,ThumbsUp
0.5898169,1,1,1,0.8136997,1,1,0.8465201,0,0,ThumbsUp
0.9364835,1,1,1,1,0.8450549,1,1,0.03567766,0,ThumbsUp
0.5898169,1,1,1,0.8136997,1,1,0.8465201,0,0,ThumbsUp
0.9364835,1,1,1,1,0.8450549,1,1,0.03567766,0,ThumbsUp
0.5898169,1,1,1,0.8136997,1,1,0.8465201,0,0,ThumbsUp
0.9364835,1,1,1,1,0.8450549,1,1,0.0359707,0,ThumbsUp
