pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.1889377,1,0.3149451,0.4813919,0,0,0,0,1,0,VictorySign
0.2733333,1,0.5269597,0.5789744,0.1364835,0.02249084,0,0,1,0.03421246,VictorySign
0.190989,1,0.3190476,0.4860806,0,0,0,0,1,0,VictorySign
0.2733333,1,0.5269597,0.5789744,0.1364835,0.02249084,0,0,1,0.03391941,VictorySign
0.190989,1,0.3190476,0.4860806,0,0,0,0,1,0,VictorySign
0.2733333,1,0.5269597,0.5789744,0.1364835,0.02249084,0,0,1,0.03391941,VictorySign
0.1942125,1,0.3234432,0.4901831,0,0,0,0,1,0,VictorySign
0.2733333,1,0.5269597,0.5789744,0.1364835,0.02249084,0,0,1,0.03391941,VictorySign
0.1968498,1,0.3272527,0.4928205,0,0,0,0,1,0,VictorySign
0.2733333,1,0.5269597,0.5789744,0.1364835,0.02249084,0,0,1,0.03391941,VictorySign
0.198022,1,0.3287179,0.4925275,0,0,0,0,1,0,VictorySign
0.2733333,1,0.5269597,0.5789744,0.1364835,0.02249084,0,0,1,0.03391941,VictorySign
0.2018315,1,0.3336996,0.4934066,0,0,0,0,1,0,VictorySign
0.2733333,1,0.5269597,0.5789744,0.1364835,0.02249084,0,0,1,0.03391941,VictorySign
0.2035898,1,0.33663,0.4936996,0,0,0,0,1,0,VictorySign
0.2736264,1,0.5278388,0.5789744,0.1373626,0.02249084,0,0,1,0.03333334,VictorySign
0.2044689,1,0.3383883,0.4936996,0,0,0,0,1,0,VictorySign
0.2736264,1,0.5281318,0.5789744,0.1376557,0.02249084,0,0,1,0.03391941,VictorySign
0.2068132,1,0.3416117,0.4936996,0,0,0,0,1,0,VictorySign
0.2736264,1,0.5281318,0.5789744,0.1379487,0.02249084,0,0,1,0.03333334,VictorySign
0.2073993,1,0.3430769,0.4939926,0,0,0,0,1,0,VictorySign
0.2736264,1,0.5281318,0.5789744,0.1382418,0.02249084,0,0,1,0.03304029,VictorySign
0.2076923,1,0.343663,0.4939926,0,0,0,0,1,0,VictorySign
0.2736264,1,0.5281318,0.5789744,0.1382418,0.02249084,0,0,1,0.03304029,VictorySign
0.2091575,1,0.3483517,0.4939926,0,0,0,0,1,0,VictorySign
0.2736264,1,0.529304,0.5789744,0.1382418,0.02249084,0,0,1,0.03304029,VictorySign
